"ngram_full","ngram_tail","ngram_head","freq"
"A FEW CLOUDS F A","A","A FEW CLOUDS F",2
"A Song of Ice and","and","A Song of Ice",3
"A Word for Prayerful Reflection","Reflection","A Word for Prayerful",2
"A couple of months ago","ago","A couple of months",4
"A couple of years ago","ago","A couple of years",14
"A couple weeks ago I","I","A couple weeks ago",3
"A driving force in Motown","Motown","A driving force in",2
"A few minutes before the","the","A few minutes before",3
"A few weeks ago the","the","A few weeks ago",3
"A graduate of the University","University","A graduate of the",3
"A great many of us","us","A great many of",2
"A man suspected of robbing","robbing","A man suspected of",2
"A new report by the","the","A new report by",2
"A person was cited for","for","A person was cited",2
"A source told the Daily","Daily","A source told the",2
"AM YOUR BEST FAN IN","IN","AM YOUR BEST FAN",6
"About to head to the","the","About to head to",3
"Academy of Arts and Sciences","Sciences","Academy of Arts and",2
"According to a study by","by","According to a study",2
"According to statistics from the","the","According to statistics from",3
"Acting Education Commissioner Christopher Cerf","Cerf","Acting Education Commissioner Christopher",2
"Add remaining ingredients and stir","stir","Add remaining ingredients and",2
"Add the rest of the","the","Add the rest of",2
"Added case studies on website","website","Added case studies on",2
"Admiral to St Louis Marine","Marine","Admiral to St Louis",3
"Admiral was once again busy","busy","Admiral was once again",2
"After a couple of years","years","After a couple of",2
"After a minute or two","two","After a minute or",3
"All I can do is","is","All I can do",17
"All I can say is","is","All I can say",36
"All I gotta say is","is","All I gotta say",3
"All I have to say","say","All I have to",10
"All I wanna do is","is","All I wanna do",5
"All eyes are on the","the","All eyes are on",2
"All i gotta say is","is","All i gotta say",2
"All we can do is","is","All we can do",10
"All you have to do","do","All you have to",45
"Allen Iverson and Carmelo Anthony","Anthony","Allen Iverson and Carmelo",2
"Am I right or am","am","Am I right or",2
"Am I the only one","one","Am I the only",65
"Amar e Stoudemire cut his","his","Amar e Stoudemire cut",2
"America s greatest living poet","poet","America s greatest living",2
"American Academy of Arts and","and","American Academy of Arts",3
"American Association for the Advancement","Advancement","American Association for the",2
"An earlier version of this","this","An earlier version of",11
"And I love it when","when","And I love it",2
"And I think there are","are","And I think there",2
"And a shout out to","to","And a shout out",2
"And be sure to check","check","And be sure to",2
"And can t wait to","to","And can t wait",3
"And if you have a","a","And if you have",3
"And it s not just","just","And it s not",6
"And it seems like they","they","And it seems like",2
"And so it was that","that","And so it was",4
"And that brings us to","to","And that brings us",2
"And that s all she","she","And that s all",2
"And that s what he","he","And that s what",3
"And the only way to","to","And the only way",3
"And there you have it","it","And there you have",9
"Andrew Cuomo of New York","York","Andrew Cuomo of New",4
"Anniversary as a JanPro Sacramento","Sacramento","Anniversary as a JanPro",3
"Another Brick in the Wall","Wall","Another Brick in the",2
"Another reason to attend the","the","Another reason to attend",2
"Any time you can do","do","Any time you can",2
"Anyone with information is asked","asked","Anyone with information is",20
"April and rushed to a","a","April and rushed to",2
"Are you kidding me I","I","Are you kidding me",5
"Area of what appeared to","to","Area of what appeared",2
"Arizona Employers for Immigration Reform","Reform","Arizona Employers for Immigration",4
