"ngram_full","ngram_tail","ngram_head","freq"
"A FEW CLOUDS F","F","A FEW CLOUDS",2
"A Song of Ice","Ice","A Song of",3
"A Wall Street Journal","Journal","A Wall Street",2
"A Word for Prayerful","Prayerful","A Word for",2
"A couple of months","months","A couple of",10
"A couple of years","years","A couple of",19
"A couple weeks ago","ago","A couple weeks",5
"A driving force in","in","A driving force",2
"A few minutes before","before","A few minutes",4
"A few of these","these","A few of",6
"A few seconds later","later","A few seconds",4
"A few weeks ago","ago","A few weeks",43
"A graduate of the","the","A graduate of",3
"A great many of","of","A great many",2
"A lot of bad","bad","A lot of",2
"A lot of stuff","stuff","A lot of",3
"A man suspected of","of","A man suspected",2
"A message left for","for","A message left",3
"A new generation of","of","A new generation",3
"A new report by","by","A new report",3
"A person was cited","cited","A person was",2
"A recent study by","by","A recent study",2
"A search of the","the","A search of",5
"A source told the","the","A source told",3
"A third of the","the","A third of",4
"A to Z Challenge","Challenge","A to Z",6
"A year later I","I","A year later",3
"A yearold Livermore man","man","A yearold Livermore",2
"AFLCIO President Richard Trumka","Trumka","AFLCIO President Richard",2
"ALL the time I","I","ALL the time",3
"AM YOUR BEST FAN","FAN","AM YOUR BEST",6
"AND YOU RE NOT","NOT","AND YOU RE",2
"About a week ago","ago","About a week",5
"About to head to","to","About to head",8
"About to hit up","up","About to hit",4
"About to take my","my","About to take",3
"About two hours later","later","About two hours",2
"About years ago I","I","About years ago",2
"Academic rank of I","I","Academic rank of",2
"Academy of Arts and","and","Academy of Arts",3
"According to a study","study","According to a",5
"According to statistics from","from","According to statistics",3
"Acting Education Commissioner Christopher","Christopher","Acting Education Commissioner",2
"Actually I don t","t","Actually I don",7
"Add remaining ingredients and","and","Add remaining ingredients",5
"Add the onion and","and","Add the onion",7
"Add the pasta and","and","Add the pasta",4
"Add the rest of","of","Add the rest",3
"Add the sundried tomatoes","tomatoes","Add the sundried",2
"Added case studies on","on","Added case studies",2
"Admiral to St Louis","Louis","Admiral to St",3
"Admiral was once again","again","Admiral was once",2
"After a couple of","of","After a couple",14
"After a few more","more","After a few",4
"After a minute or","or","After a minute",4
"After a night of","of","After a night",3
"After all they had","had","After all they",2
"After high school he","he","After high school",3
"After scoring points in","in","After scoring points",2
"After that we ll","ll","After that we",2
"After the tour we","we","After the tour",3
"Air Transport Association the","the","Air Transport Association",2
