"ngram_full","freq"
"A",23039
"AA",157
"AAA",112
"AARP",48
"AAdvantage",4
"ABBA",20
"ABC",374
"ABOUT",154
"ABQ",102
"AC",183
"ACC",92
"ACCBG",2
"ACL",116
"ACLU",60
"ACORN",17
"ACT",71
"ACTOR",12
"ACTUALLY",29
"ACityMisleading",2
"AD",122
"ADD",78
"ADIDAS",7
"ADVENTURE",4
"AE",47
"AF",83
"AFLCIO",21
"AFTER",72
"AGA",3
"AGAIN",112
"AH",132
"AHI",2
"AI",47
"AID",6
"AIDS",124
"AJ",181
"AK",57
"AKPsi",2
"AL",169
"ALA",60
"ALL",1035
"ALLEY",5
"ALONE",25
"ALOT",27
"ALWAYS",177
"AM",1137
"AMA",19
"AMAZING",335
"AMC",84
"AMG",9
"AN",105
"AND",1538
"ANSWERS",3
"ANYONE",55
"ANYTHING",86
"ANZAC",10
"ANZACs",2
"AP",700
"APPRECIATED",3
"AQAP",17
"AR",60
"ARE",515
"AREA",9
"ARIES",2
"ARMY",13
"AROUND",21
"ART",30
"ARTICLE",2
"ARW",2
"AS",175
"ASAP",256
"ASU",83
"AT",445
"ATCs",6
"ATT",303
"ATTN",14
"AU",28
"AUBURN",5
"AUSTIN",120
"AUX",5
"AVATAR",8
"AVERY",7
"AVID",12
"AVON",4
"AW",55
"AWA",5
"AWARENESS",4
"AWESOME",270
"AWL",4
"AWP",15
"AZ",174
"Aafreen",3
"Aalto",3
"Aaron",429
"Abarth",4
"Abbas",22
"Abbey",141
"Abbott",80
"Abbottabad",21
"Abby",145
"Abdelkader",6
"Abdi",4
"AbdulBahá",6
"AbdulJabbar",14
"Abed",15
"Abella",6
"Abernathy",5
"Abigail",45
"Ableton",4
"Abolish",6
"About",1558
"Above",114
"Abreu",17
"Abroad",17
"Absence",13
"Absolut",9
"Absolutely",350
"Abstrakt",3
"Academic",104
"Academy",617
"Access",103
"Accessories",52
"Accidental",15
"According",1190
"Accountability",48
"Accreditation",6
"Ace",75
"Ackerman",39
"Acres",33
"Acrylic",12
"Act",891
"Acta",82
"Acting",106
"Action",249
"Activities",81
"Activity",47
"Acton",19
"Actress",93
"Acts",113
"Actually",537
"Acura",44
"Ad",86
"AdWords",7
"Adam",766
"Adams",657
"Adamson",13
"Add",1171
"Added",105
"Addicted",30
"Addison",78
"Additionally",111
"Address",42
"Addressing",15
"Adds",23
"Adele",166
"Adidas",75
"Adjustable",5
"Adkins",32
"Adler",51
"Administration",404
"Admiral",55
"Adopting",6
"Adorable",21
"Adrenaline",7
"Adrian",132
"Adriana",28
"Adult",124
"Advance",43
"Advanced",77
"Advancement",14
"Adventures",85
"Advertising",59
"Advil",18
"Advisory",91
"Advocates",47
"Aegis",4
