"ngram_full","ngram_tail","ngram_head","freq"
"A Beginners Guide","Guide","A Beginners",2
"A Better Life","Life","A Better",3
"A CELEBRATION OF","OF","A CELEBRATION",3
"A FEW CLOUDS","CLOUDS","A FEW",5
"A Flat City","City","A Flat",2
"A HORRIBLE PERSON","PERSON","A HORRIBLE",3
"A I have","have","A I",9
"A LOT of","of","A LOT",33
"A Level I","I","A Level",2
"A Little Help","Help","A Little",2
"A Song of","of","A Song",4
"A Wall Street","Street","A Wall",3
"A Word for","for","A Word",2
"A bad day","day","A bad",5
"A bill was","was","A bill",2
"A bunch of","of","A bunch",27
"A century ago","ago","A century",4
"A child with","with","A child",3
"A couple of","of","A couple",148
"A couple weeks","weeks","A couple",12
"A dog is","is","A dog",2
"A driving force","force","A driving",3
"A federal court","court","A federal",3
"A few minutes","minutes","A few",31
"A few of","of","A few",48
"A few quick","quick","A few",4
"A few seconds","seconds","A few",5
"A few things","things","A few",14
"A few weeks","weeks","A few",66
"A flurry of","of","A flurry",3
"A friend in","in","A friend",3
"A friend recently","recently","A friend",4
"A girl who","who","A girl",3
"A graduate of","of","A graduate",16
"A grand jury","jury","A grand",12
"A great many","many","A great",5
"A handful of","of","A handful",20
"A jury in","in","A jury",3
"A lie is","is","A lie",2
"A lot of","of","A lot",473
"A man has","has","A man",5
"A man of","of","A man",5
"A man s","s","A man",16
"A man suspected","suspected","A man",2
"A message left","left","A message",8
"A million thanks","thanks","A million",2
"A national study","study","A national",2
"A new generation","generation","A new",3
"A new job","job","A new",2
"A new place","place","A new",2
"A new report","report","A new",8
"A nice little","little","A nice",3
"A number of","of","A number",69
"A person that","that","A person",2
"A person was","was","A person",2
"A police dispatcher","dispatcher","A police",2
"A powerful and","and","A powerful",3
"A proud look","look","A proud",2
"A recent study","study","A recent",15
"A report released","released","A report",5
"A search of","of","A search",8
"A selection of","of","A selection",7
"A series of","of","A series",20
"A source told","told","A source",6
"A state title","title","A state",4
"A survey conducted","conducted","A survey",2
"A third of","of","A third",8
"A to Z","Z","A to",31
"A very busy","busy","A very",3
"A wave of","of","A wave",7
"A week later","later","A week",13
"A woman needs","needs","A woman",2
"A world of","of","A world",4
"A world where","where","A world",4
"A year later","later","A year",28
"A year old","old","A year",13
"A yearold Livermore","Livermore","A yearold",2
"AFLCIO President Richard","Richard","AFLCIO President",2
"ALL of the","the","ALL of",15
"ALL the time","time","ALL the",17
"AM It s","s","AM It",2
"AM TALKING ABOUT","ABOUT","AM TALKING",2
"AM YOUR BEST","BEST","AM YOUR",6
"AND I M","M","AND I",3
"AND YOU RE","RE","AND YOU",2
"ARE ON THE","THE","ARE ON",2
"AUBURN HILLS Mich","Mich","AUBURN HILLS",2
"About a week","week","About a",9
"About to be","be","About to",10
"About to go","go","About to",52
"About to head","head","About to",20
"About to hit","hit","About to",13
"About to take","take","About to",10
"About to watch","watch","About to",29
"About two dozen","dozen","About two",6
"About two hours","hours","About two",4
"About years ago","ago","About years",9
"Absolutely Thanks for","for","Absolutely Thanks",2
"Abstrakt Marketing Group","Group","Abstrakt Marketing",2
"Academic rank of","of","Academic rank",19
"Academy of Arts","Arts","Academy of",4
"According to a","a","According to",118
"According to her","her","According to",6
"According to new","new","According to",3
"According to of","of","According to",3
"According to our","our","According to",8
"According to statistics","statistics","According to",5
"According to the","the","According to",362
"Acting Education Commissioner","Commissioner","Acting Education",3
"Activities Student Council","Council","Activities Student",7
"Actually I don","don","Actually I",7
"Adams in the","the","Adams in",4
