"ngram_full","ngram_tail","ngram_head","freq"
"A Beginners","Beginners","A",2
"A Better","Better","A",7
"A Brighter","Brighter","A",2
"A CELEBRATION","CELEBRATION","A",4
"A Christmas","Christmas","A",42
"A Depends","Depends","A",2
"A FEW","FEW","A",16
"A Flat","Flat","A",2
"A Friday","Friday","A",6
"A Great","Great","A",25
"A HORRIBLE","HORRIBLE","A",3
"A I","I","A",161
"A LOT","LOT","A",76
"A Level","Level","A",5
"A Link","Link","A",5
"A Little","Little","A",36
"A London","London","A",3
"A Message","Message","A",3
"A My","My","A",13
"A POEM","POEM","A",2
"A Program","Program","A",2
"A RT","RT","A",7
"A Real","Real","A",8
"A Sign","Sign","A",4
"A Song","Song","A",10
"A That","That","A",14
"A This","This","A",11
"A Thousand","Thousand","A",9
"A WONDERFUL","WONDERFUL","A",6
"A Wall","Wall","A",3
"A Word","Word","A",3
"A bad","bad","A",20
"A bill","bill","A",19
"A blessing","blessing","A",4
"A bunch","bunch","A",28
"A card","card","A",8
"A century","century","A",4
"A child","child","A",35
"A classic","classic","A",17
"A comment","comment","A",3
"A cool","cool","A",7
"A couple","couple","A",214
"A crew","crew","A",2
"A depressed","depressed","A",2
"A dispute","dispute","A",3
"A dog","dog","A",15
"A driving","driving","A",4
"A feature","feature","A",3
"A federal","federal","A",54
"A feeling","feeling","A",3
"A few","few","A",628
"A financial","financial","A",2
"A flat","flat","A",5
"A flurry","flurry","A",3
"A for","for","A",30
"A former","former","A",75
"A friend","friend","A",147
"A girl","girl","A",49
"A good","good","A",217
"A graduate","graduate","A",16
"A grand","grand","A",14
"A great","great","A",184
"A group","group","A",77
"A guitar","guitar","A",2
"A handful","handful","A",22
"A it","it","A",4
"A jury","jury","A",16
"A lie","lie","A",5
"A little","little","A",330
"A lot","lot","A",561
"A man","man","A",245
"A mellow","mellow","A",2
"A message","message","A",19
"A million","million","A",33
"A mixed","mixed","A",3
"A more","more","A",39
"A national","national","A",9
"A nearby","nearby","A",4
"A neighbor","neighbor","A",16
"A new","new","A",241
"A nice","nice","A",58
"A number","number","A",76
"A passerby","passerby","A",3
"A perfect","perfect","A",42
"A person","person","A",80
"A photo","photo","A",13
"A piece","piece","A",18
"A plan","plan","A",14
"A police","police","A",30
"A powerful","powerful","A",13
"A press","press","A",4
"A promising","promising","A",2
"A proud","proud","A",3
"A public","public","A",19
"A quiet","quiet","A",12
"A recent","recent","A",94
"A report","report","A",34
"A s","s","A",193
"A sad","sad","A",8
"A sample","sample","A",5
"A search","search","A",20
"A selection","selection","A",7
"A series","series","A",22
"A shame","shame","A",7
"A single","single","A",33
"A site","site","A",3
"A smart","smart","A",10
"A source","source","A",24
"A standard","standard","A",13
"A state","state","A",60
"A survey","survey","A",16
"A teenager","teenager","A",4
"A text","text","A",2
"A third","third","A",54
"A ticket","ticket","A",5
"A to","to","A",71
"A universal","universal","A",2
"A very","very","A",135
"A volunteer","volunteer","A",3
"A wave","wave","A",8
"A website","website","A",11
"A week","week","A",73
"A where","where","A",3
"A white","white","A",12
"A wiki","wiki","A",2
"A woman","woman","A",151
"A world","world","A",13
"A year","year","A",157
"A yearold","yearold","A",138
"AARP which","which","AARP",2
"ABC News","News","ABC",44
"ABC The","The","ABC",5
"ABC s","s","ABC",45
"ABC special","special","ABC",3
"ABC the","the","ABC",2
"ABOUT MY","MY","ABOUT",4
"ABQ Best","Best","ABQ",2
"AC Moore","Moore","AC",3
"ACT and","and","ACT",2
"AD and","and","AD",7
"AD to","to","AD",3
"AFLCIO President","President","AFLCIO",2
"AFTER PARTY","PARTY","AFTER",2
"AI was","was","AI",2
"AIDS in","in","AIDS",2
"AJ Ellis","Ellis","AJ",6
"AK I","I","AK",2
"AK and","and","AK",5
"AL wild","wild","AL",2
"ALL THE","THE","ALL",78
"ALL WHITE","WHITE","ALL",2
"ALL of","of","ALL",62
"ALL the","the","ALL",67
"ALLEY s","s","ALLEY",2
"ALWAYS busy","busy","ALWAYS",2
"AM EST","EST","AM",3
"AM I","I","AM",73
"AM It","It","AM",8
"AM SO","SO","AM",17
"AM TALKING","TALKING","AM",2
"AM YOUR","YOUR","AM",6
"AM it","it","AM",2
"AM we","we","AM",4
"AMAZING no","no","AMAZING",2
"AMC s","s","AMC",13
"AN ACTOR","ACTOR","AN",2
"AND I","I","AND",96
"AND SEE","SEE","AND",4
"AND VOTE","VOTE","AND",2
"AND YOU","YOU","AND",13
"AND a","a","AND",32
"AND our","our","AND",2
"ANYTHING GOES","GOES","ANYTHING",2
"ANZAC Day","Day","ANZAC",3
"AP A","A","AP",13
"AP She","She","AP",3
"AP You","You","AP",4
"AP also","also","AP",2
"AP had","had","AP",2
"APPRECIATED I","I","APPRECIATED",2
"AQAP s","s","AQAP",3
"ARE ON","ON","ARE",6
"ARE YOU","YOU","ARE",83
"ART of","of","ART",3
"AS THE","THE","AS",5
"ASU in","in","ASU",3
"AT ALL","ALL","AT",29
"AT THE","THE","AT",68
"AUBURN HILLS","HILLS","AUBURN",2
"AVID students","students","AVID",2
"AW it","it","AW",2
"AWESOME I","I","AWESOME",24
"Aaron Payne","Payne","Aaron",4
"Aaron Smith","Smith","Aaron",3
"Abbas a","a","Abbas",3
"Abbey A","A","Abbey",2
"Abbott districts","districts","Abbott",3
"Abby said","said","Abby",2
"Abernathy is","is","Abernathy",2
"Abigail Adams","Adams","Abigail",4
"Ableton Live","Live","Ableton",2
"Abolish the","the","Abolish",4
"About Kevin","Kevin","About",7
"About Me","Me","About",16
"About This","This","About",4
"About Us","Us","About",4
"About You","You","About",21
"About a","a","About",87
"About in","in","About",5
"About minutes","minutes","About",34
"About pm","pm","About",12
"About those","those","About",3
"About to","to","About",373
"About two","two","About",22
"About years","years","About",12
"Above all","all","Above",39
"Above that","that","Above",2
"Absolutely I","I","Absolutely",15
"Absolutely Thanks","Thanks","Absolutely",3
"Abstrakt Marketing","Marketing","Abstrakt",2
"Academic rank","rank","Academic",21
"Academy closed","closed","Academy",2
"Academy of","of","Academy",93
"Access Intermediate","Intermediate","Access",2
"Accessories pleated","pleated","Accessories",2
"According the","the","According",4
"According to","to","According",1180
"Accountability Office","Office","Accountability",9
"Act Now","Now","Act",3
"Act since","since","Act",2
"Act violations","violations","Act",6
"Acta had","had","Acta",3
"Acting Education","Education","Acting",3
