Population by knowledge of official languages,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Geocode,CACode,Geographic name,CMA/CA type,Age,Data quality flag,Knowledge of official languages[1] - Total (2011 counts),Knowledge of official languages[1] - Total (2011 % distribution),Knowledge of official languages[1] - Total (2006 to 2011 % change),Knowledge of official languages[1] - English only (2011 counts),Knowledge of official languages[1] - English only (2011 % distribution),Knowledge of official languages[1] - English only (2006 to 2011 % change),Knowledge of official languages[1] - French only (2011 counts),Knowledge of official languages[1] - French only (2011 % distribution),Knowledge of official languages[1] - French only (2006 to 2011 % change),Knowledge of official languages[1] - English and French (2011 counts),Knowledge of official languages[1] - English and French (2011 % distribution),Knowledge of official languages[1] - English and French (2006 to 2011 % change),Knowledge of official languages[1] - Neither English nor French (2011 counts),Knowledge of official languages[1] - Neither English nor French (2011 % distribution),Knowledge of official languages[1] - Neither English nor French (2006 to 2011 % change),   
01, ,Canada, ,1,20000,33121175,100,6,22564665,68.1,6.8,4165015,12.6,0.6,5795575,17.5,6.4,595920,1.8,14.5,   
01, ,Canada, ,2,20000,5602070,100,0.5,3871835,69.1,-0.4,964900,17.2,-0.9,647665,11.6,6.6,117670,2.1,10.2,   
01, ,Canada, ,3,20000,1875660,100,11,1329875,70.9,8.5,363535,19.4,17.6,80870,4.3,24.6,101380,5.4,12,   
01, ,Canada, ,4,20000,1808725,100,0,1268015,70.1,-1.4,320095,17.7,-0.9,208830,11.5,10.9,11785,0.7,2.9,   
01, ,Canada, ,5,20000,1917685,100,-7.7,1273945,66.4,-7.5,281270,14.7,-17.7,357965,18.7,1,4500,0.2,-5.1,   
01, ,Canada, ,6,20000,22816020,100,5.7,15590165,68.3,7.4,2463815,10.8,-3.8,4504035,19.7,4.9,258000,1.1,17.1,   
01, ,Canada, ,7,20000,4351720,100,3.4,2953405,67.9,5.6,403485,9.3,-7.2,982275,22.6,2.1,12560,0.3,0.7,   
01, ,Canada, ,8,20000,2171925,100,1.7,1448805,66.7,2.5,227130,10.5,-5.7,491555,22.6,3,4435,0.2,-5.5,   
01, ,Canada, ,9,20000,2179800,100,5.2,1504600,69,8.6,176355,8.1,-9.1,490720,22.5,1.2,8120,0.4,4.4,   
01, ,Canada, ,10,20000,8793425,100,0.1,6041315,68.7,1.3,800275,9.1,-12.8,1876150,21.3,2.4,75680,0.9,6,   
01, ,Canada, ,11,20000,9670875,100,12.4,6595440,68.2,14.6,1260055,13,4.3,1645615,17,9.8,169760,1.8,24.3,   
01, ,Canada, ,12,20000,4703090,100,15.4,3102670,66,13.9,736295,15.7,21.2,643870,13.7,17.3,220245,4.7,14,   
01, ,Canada, ,13,20000,2643545,100,17.2,1734080,65.6,16.5,408465,15.5,18.6,403695,15.3,23.1,97315,3.7,2.6,   
01, ,Canada, ,14,20000,2059535,100,13.2,1368590,66.5,10.7,327835,15.9,24.6,240180,11.7,8.7,122935,6,24.9,   
10,001,St. John's (N.L.),CMA,1,00000,194935,100,8.7,180240,92.5,8.3,40,0,166.7,14345,7.4,13.4,305,0.2,41.9,   
10,001,St. John's (N.L.),CMA,2,00000,31195,100,6.7,27755,89,4.8,15,0,0,3335,10.7,24.2,90,0.3,38.5,   
10,001,St. John's (N.L.),CMA,3,00000,10705,100,16.9,10540,98.5,16.5,10,0.1,0,85,0.8,41.7,70,0.7,55.6,   
10,001,St. John's (N.L.),CMA,4,00000,10220,100,4.9,9155,89.6,3.7,5,0,0,1050,10.3,16.7,5,0,-66.7,   
10,001,St. John's (N.L.),CMA,5,00000,10275,100,-0.7,8060,78.4,-6.6,5,0,0,2200,21.4,27.9,10,0.1,0,   
10,001,St. John's (N.L.),CMA,6,00000,140175,100,7.3,129380,92.3,7.1,25,0,0,10585,7.6,9.7,180,0.1,63.6,   
10,001,St. John's (N.L.),CMA,7,00000,26475,100,0.7,21790,82.3,0.8,5,0,0,4655,17.6,0.3,30,0.1,50,   
10,001,St. John's (N.L.),CMA,8,00000,11295,100,-7.1,8815,78,-9.5,0,0,0,2465,21.8,2.3,10,0.1,-33.3,   
10,001,St. John's (N.L.),CMA,9,00000,15190,100,7.5,12975,85.4,9.1,0,0,0,2190,14.4,-1.8,15,0.1,50,   
10,001,St. John's (N.L.),CMA,10,00000,57070,100,4.6,52925,92.7,3.4,10,0,0,4055,7.1,20.3,80,0.1,33.3,   
10,001,St. John's (N.L.),CMA,11,00000,56625,100,13.9,54665,96.5,13.8,10,0,0,1875,3.3,14.3,75,0.1,200,   
10,001,St. John's (N.L.),CMA,12,00000,23565,100,21.3,23105,98,21.3,0,0,-100,415,1.8,27.7,40,0.2,0,   
